Month,Timepoint,Pool,Treatment,Heat,CO2,DayNight,Minimum,Maximum,Range,Median,Average,DailyAverage,Max90Perentile,Max95Percentile,Max99Percentile,Min10Percentile,DailyMaximum,Daily90MaxPercentile,Daily95MaxPercentile,Daily99MaxPercentile,DailyMinumim,DailyRange,Volume
September,6,Pool11,Warming + CO2,H,C,Day,12.025,20.484,8.459,14.697,15.12570921,15.06257236,18.176,19.09645,20.126,12.92,17.15931818,16.78650909,16.97603182,17.12374091,13.37913636,3.78018182,14
March,0,Pool13,Warming,H,N,Day,2.021,11.953,9.932,6.864,7.062848968,6.877302693,10.124,11.0194,11.565,5.411,8.282857143,8.103246429,8.202739286,8.264700357,5.610142857,2.672714286,22
July,3,Pool13,Warming,H,N,Day,14.29,22.8,8.51,16.63,17.12026747,17.12718886,19.865,20.9245,22.286,15.175,19.80687097,19.23226774,19.53667903,19.76044065,15.31003226,4.49683871,22
September,6,Pool13,Warming,H,N,Day,12.389,20.793,8.404,14.565,15.04586007,14.97756477,18.081,19.08,20.12768,13.1922,16.93172727,16.62954091,16.78632727,16.90206682,13.57740909,3.35431818,22
March,0,Pool15,CO2 Addition,N,C,Day,-1.015,11.686,12.701,7.192,6.973536395,6.728252123,10.541,10.98,11.419,3.512,8.913178571,8.479778571,8.664664286,8.845742857,4.427071429,4.486107142,5
July,3,Pool15,CO2 Addition,N,C,Day,14.266,22.633,8.367,16.392,16.86994044,16.89838888,19.651,20.555,21.867,14.984,18.93970968,18.58292903,18.76117581,18.90308194,15.22593548,3.7137742,5
September,6,Pool15,CO2 Addition,N,C,Day,11.832,19.698,7.866,14.409,14.86134184,14.78129305,18.0189,18.99305,19.555,12.799,16.23245455,16.02440909,16.13578182,16.21576591,13.48495455,2.7475,5
March,0,Pool16,Warming,H,N,Day,2.074,8.767,6.693,6.687,6.437109381,6.284809867,8.12,8.27,8.618,4.558,7.208214286,7.015775,7.11205,7.174263929,5.379821429,1.828392857,19.5
July,3,Pool16,Warming,H,N,Day,14.122,23.064,8.942,16.654,16.98606773,17.01465703,19.413,20.65,22.082,15.031,19.32674194,18.92939677,19.14398065,19.29127194,15.09190323,4.23483871,19.5
September,6,Pool16,Warming,H,N,Day,12.316,18.224,5.908,14.505,14.81437648,14.77744058,16.82,17.177,17.915,13.281,16.25695455,16.03077727,16.15960227,16.22782818,13.489,2.76795455,19.5
